TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TimeSinceLastTxn,IsFraud,Channel_Branch,Channel_Online
TX002082,AC00498,0.117086925249914,2023-12-11 17:28:00,Debit,Boston,D000047,217.82.46.37,M082,-0.953427225390889,Student,-1.1992818214259198,1,0.09717198212666354,2024-11-04 08:07:00,1.489745557885886,0,False,False
TX000434,AC00475,0.04424963255605474,2023-07-05 16:08:00,Debit,Washington,D000514,100.4.40.132,M074,1.1970541258394887,Retired,0.6634538259931503,1,0.1392571419736364,2024-11-04 08:06:00,0.002210179116253355,0,False,False
TX001725,AC00261,0.008245337892070506,2023-02-13 17:58:00,Debit,Atlanta,D000697,155.37.19.43,M038,0.6877295952849256,Doctor,-1.0713076166414035,1,0.7306583381454027,2024-11-04 08:09:00,-1.325127383330692,0,False,False
TX001252,AC00153,0.04968571815746406,2023-03-23 17:09:00,Debit,Atlanta,D000211,221.23.158.87,M061,-1.2929769124272643,Student,-1.3130366701232674,1,0.01139031943849705,2024-11-04 08:09:00,-0.9700566456278795,0,False,True
TX000094,AC00373,0.2301971167377232,2023-12-21 16:37:00,Debit,Los Angeles,D000645,168.36.49.167,M047,-1.4627517559454521,Student,2.0000732981869866,1,0.08561562108634231,2024-11-04 08:08:00,1.5829312494693573,0,False,True
TX000903,AC00385,0.1708953123534133,2023-10-12 16:17:00,Credit,San Diego,D000245,106.244.1.47,M014,-0.16114462230601298,Engineer,-1.2561592457745936,1,0.18407425756884174,2024-11-04 08:09:00,0.9281309559694156,0,False,True
TX002055,AC00500,0.08152043613772113,2023-01-30 16:37:00,Debit,Charlotte,D000168,11.167.243.171,M099,0.34817990824855016,Doctor,-0.24658496358563203,1,0.9647319570926991,2024-11-04 08:10:00,-1.456592728259088,0,False,False
TX001230,AC00229,0.00873526315240845,2023-12-25 17:18:00,Debit,Omaha,D000618,119.43.28.203,M004,-1.2363852979212018,Student,1.4170796986130794,1,0.05458264737536629,2024-11-04 08:06:00,1.6206198867887662,0,False,True
TX000768,AC00481,0.17061386592726174,2023-11-23 17:44:00,Debit,San Francisco,D000517,90.111.245.138,M054,0.9140960533091759,Doctor,-0.9291140557697187,1,0.7047208921341321,2024-11-04 08:09:00,1.3214943363803517,0,False,False
TX000600,AC00211,0.22674679203193895,2023-05-15 18:41:00,Debit,Oklahoma City,D000461,10.191.172.154,M008,0.5745463662728004,Retired,-0.1043914027139473,1,0.4624177942818499,2024-11-04 08:09:00,-0.47378503527966326,0,False,False
